kdgd;kdbr;nmbr;juml;hrga;ttal;ordr;kdmr;kdgl;kdkm
;;;0;0;0;0;;;
CA3;00AVI-BM;#TINTER AVIAN 1000ML BM-BLACK MUT;0;0;0;0;AVLL;TINTA;LT
CW1;00AVI-BM;#TINTER AVIAN 1000ML BM-BLACK MUT;0;0;0;0;AVLL;TINTA;LT
CW3;00AVI-BM;#TINTER AVIAN 1000ML BM-BLACK MUT;0;0;0;0;AVLL;TINTA;LT
CW4;00AVI-BM;#TINTER AVIAN 1000ML BM-BLACK MUT;0;0;0;0;AVLL;TINTA;LT
CW5;00AVI-BM;#TINTER AVIAN 1000ML BM-BLACK MUT;0;0;0;0;AVLL;TINTA;LT
GUDANG;00AVI-BM;#TINTER AVIAN 1000ML BM-BLACK MUT;0;0;0;0;AVLL;TINTA;LT
CW5;00AVI-BO;#TINTER AVIAN 1000ML BO-BLUE OCEAN;0;0;0;0;AVLL;TINTA;LT
CW5;00AVI-DB;#TINTER AVIAN 1000ML DB-DARK BROWN;0;0;0;0;AVLL;TINTA;LT
CW5;00AVI-GK;#TINTER AVIAN 1000ML GK-GREEN SPRING;0;0;0;0;AVLL;TINTA;LT
CW5;00AVI-HP;#TINTER AVIAN 1000ML HP-HOT PINK;0;0;0;0;AVLL;TINTA;LT
CW5;00AVI-OS;#TINTER AVIAN 1000ML OS-ORANGE GOLD;0;0;0;0;AVLL;TINTA;LT
CW5;00AVI-PT;#TINTER AVIAN 1000ML PT-PURPLE;0;0;0;0;AVLL;TINTA;LT
CW5;00AVI-RD;#TINTER AVIAN 1000ML RD-RED FIRE;0;0;0;0;AVLL;TINTA;LT
CW5;00AVI-RE;#TINTER AVIAN 1000ML RE-RED;0;0;0;0;AVLL;TINTA;LT
CW5;00AVI-RV;#TINTER AVIAN 1000ML RV-RED VIVID;0;0;0;0;AVLL;TINTA;LT
CW5;00AVI-WP;#TINTER AVIAN 1000ML WP-PURE WHITE;0;0;0;0;AVLL;TINTA;LT
CW5;00AVI-YD;#TINTER AVIAN 1000ML YD-YELLOW RED;0;0;0;0;AVLL;TINTA;LT
CW5;00AVI-YE;#TINTER AVIAN 1000ML YE-YELLOW;0;0;0;0;AVLL;TINTA;LT
CW5;00AVI-YK;#TINTER AVIAN 1000ML YK-YELLOW LIGHT;0;0;0;0;AVLL;TINTA;LT
CW1;00DNP-AN;#TINTER 1000ML DNP-HIGH PERFORMANCE YPEN;0;0;0;0;XXTDN;TINTA;LT
CW2;00DNP-AN;#TINTER 1000ML DNP-HIGH PERFORMANCE YPEN;0;0;0;0;XXTDN;TINTA;LT
CW3;00DNP-AN;#TINTER 1000ML DNP-HIGH PERFORMANCE YPEN;0;0;0;0;XXTDN;TINTA;LT
CW4;00DNP-AN;#TINTER 1000ML DNP-HIGH PERFORMANCE YPEN;0;0;0;0;XXTDN;TINTA;LT
CW5;00DNP-AN;#TINTER 1000ML DNP-HIGH PERFORMANCE YPEN;0;0;0;0;XXTDN;TINTA;LT
CW6;00DNP-AN;#TINTER 1000ML DNP-HIGH PERFORMANCE YPEN;0;0;0;0;XXTDN;TINTA;LT
CW7;00DNP-AN;#TINTER 1000ML DNP-HIGH PERFORMANCE YPEN;0;0;0;0;XXTDN;TINTA;LT
CW2;00DNP-AXX;#TINTER 1000ML DNP-ORGANIC YELLOW;0;0;0;0;XXTDN;TINTA;LT
CW4;00DNP-AXX;#TINTER 1000ML DNP-ORGANIC YELLOW;0;0;0;0;XXTDN;TINTA;LT
CW5;00DNP-AXX;#TINTER 1000ML DNP-ORGANIC YELLOW;0;0;0;0;XXTDN;TINTA;LT
CW7;00DNP-AXX;#TINTER 1000ML DNP-ORGANIC YELLOW;0;0;0;0;XXTDN;TINTA;LT
CW2;00DNP-B;#TINTER 1000ML DNP-LAMP BLACK;0;0;0;0;XXTDN;TINTA;LT
CW6;00DNP-B;#TINTER 1000ML DNP-LAMP BLACK;0;0;0;0;XXTDN;TINTA;LT
CW2;00DNP-C;#TINTER 1000ML DNP-YELLOW OXIDE;0;0;0;0;XXTDN;TINTA;LT
CW3;00DNP-C;#TINTER 1000ML DNP-YELLOW OXIDE;0;0;0;0;XXTDN;TINTA;LT
CW5;00DNP-C;#TINTER 1000ML DNP-YELLOW OXIDE;0;0;0;0;XXTDN;TINTA;LT
CW6;00DNP-C;#TINTER 1000ML DNP-YELLOW OXIDE;0;0;0;0;XXTDN;TINTA;LT
CW7;00DNP-C;#TINTER 1000ML DNP-YELLOW OXIDE;0;0;0;0;XXTDN;TINTA;LT
GUDANG;00DNP-C;#TINTER 1000ML DNP-YELLOW OXIDE;0;0;0;0;XXTDN;TINTA;LT
CW1;00DNP-D;#TINTER 1000ML DNP-PHTHALO GREEN;0;0;0;0;XXTDN;TINTA;LT
CW2;00DNP-D;#TINTER 1000ML DNP-PHTHALO GREEN;0;0;0;0;XXTDN;TINTA;LT
CW5;00DNP-D;#TINTER 1000ML DNP-PHTHALO GREEN;0;0;0;0;XXTDN;TINTA;LT
CW6;00DNP-D;#TINTER 1000ML DNP-PHTHALO GREEN;0;0;0;0;XXTDN;TINTA;LT
CW7;00DNP-D;#TINTER 1000ML DNP-PHTHALO GREEN;0;0;0;0;XXTDN;TINTA;LT
GUDANG;00DNP-D;#TINTER 1000ML DNP-PHTHALO GREEN;0;0;0;0;XXTDN;TINTA;LT
CW1;00DNP-E;#TINTER 1000ML DNP-PHTHALO BLUE;0;0;0;0;XXTDN;TINTA;LT
CW2;00DNP-E;#TINTER 1000ML DNP-PHTHALO BLUE;0;0;0;0;XXTDN;TINTA;LT
CW3;00DNP-E;#TINTER 1000ML DNP-PHTHALO BLUE;0;0;0;0;XXTDN;TINTA;LT
CW7;00DNP-E;#TINTER 1000ML DNP-PHTHALO BLUE;0;0;0;0;XXTDN;TINTA;LT
CW1;00DNP-F;#TINTER 1000ML DNP-RED OXIDE;0;0;0;0;XXTDN;TINTA;LT
CW3;00DNP-F;#TINTER 1000ML DNP-RED OXIDE;0;0;0;0;XXTDN;TINTA;LT
CW4;00DNP-F;#TINTER 1000ML DNP-RED OXIDE;0;0;0;0;XXTDN;TINTA;LT
CW5;00DNP-F;#TINTER 1000ML DNP-RED OXIDE;0;0;0;0;XXTDN;TINTA;LT
CW7;00DNP-F;#TINTER 1000ML DNP-RED OXIDE;0;0;0;0;XXTDN;TINTA;LT
CW1;00DNP-I;#TINTER 1000ML DNP-BROWN OXIDE;0;0;0;0;XXTDN;TINTA;LT
CW2;00DNP-I;#TINTER 1000ML DNP-BROWN OXIDE;0;0;0;0;XXTDN;TINTA;LT
CW3;00DNP-I;#TINTER 1000ML DNP-BROWN OXIDE;0;0;0;0;XXTDN;TINTA;LT
CW4;00DNP-I;#TINTER 1000ML DNP-BROWN OXIDE;0;0;0;0;XXTDN;TINTA;LT
CW5;00DNP-I;#TINTER 1000ML DNP-BROWN OXIDE;0;0;0;0;XXTDN;TINTA;LT
CW6;00DNP-I;#TINTER 1000ML DNP-BROWN OXIDE;0;0;0;0;XXTDN;TINTA;LT
CW7;00DNP-I;#TINTER 1000ML DNP-BROWN OXIDE;0;0;0;0;XXTDN;TINTA;LT
GUDANG;00DNP-I;#TINTER 1000ML DNP-BROWN OXIDE;0;0;0;0;XXTDN;TINTA;LT
CW1;00DNP-KX;#TINTER 1000ML DNP-TITANIUM WHITE;0;0;0;0;XXTDN;TINTA;LT
CW2;00DNP-KX;#TINTER 1000ML DNP-TITANIUM WHITE;0;0;0;0;XXTDN;TINTA;LT
CW2;00DNP-L;#TINTER 1000ML DNP-RAW UMBER;0;0;0;0;XXTDN;TINTA;LT
CW3;00DNP-L;#TINTER 1000ML DNP-RAW UMBER;0;0;0;0;XXTDN;TINTA;LT
CW5;00DNP-L;#TINTER 1000ML DNP-RAW UMBER;0;0;0;0;XXTDN;TINTA;LT
CW7;00DNP-L;#TINTER 1000ML DNP-RAW UMBER;0;0;0;0;XXTDN;TINTA;LT
GUDANG;00DNP-L;#TINTER 1000ML DNP-RAW UMBER;0;0;0;0;XXTDN;TINTA;LT
CW1;00DNP-R;#TINTER 1000ML DNP-ORGANIC RED;0;0;0;0;XXTDN;TINTA;LT
CW2;00DNP-R;#TINTER 1000ML DNP-ORGANIC RED;0;0;0;0;XXTDN;TINTA;LT
CW3;00DNP-R;#TINTER 1000ML DNP-ORGANIC RED;0;0;0;0;XXTDN;TINTA;LT
CW4;00DNP-R;#TINTER 1000ML DNP-ORGANIC RED;0;0;0;0;XXTDN;TINTA;LT
CW5;00DNP-R;#TINTER 1000ML DNP-ORGANIC RED;0;0;0;0;XXTDN;TINTA;LT
CW6;00DNP-R;#TINTER 1000ML DNP-ORGANIC RED;0;0;0;0;XXTDN;TINTA;LT
CW7;00DNP-R;#TINTER 1000ML DNP-ORGANIC RED;0;0;0;0;XXTDN;TINTA;LT
CW1;00DNP-RN;#TINTER 1000ML DNP-EXT RED;0;0;0;0;XXTDN;TINTA;LT
CW2;00DNP-RN;#TINTER 1000ML DNP-EXT RED;0;0;0;0;XXTDN;TINTA;LT
CW3;00DNP-RN;#TINTER 1000ML DNP-EXT RED;0;0;0;0;XXTDN;TINTA;LT
CW5;00DNP-RN;#TINTER 1000ML DNP-EXT RED;0;0;0;0;XXTDN;TINTA;LT
CW6;00DNP-RN;#TINTER 1000ML DNP-EXT RED;0;0;0;0;XXTDN;TINTA;LT
CW7;00DNP-RN;#TINTER 1000ML DNP-EXT RED;0;0;0;0;XXTDN;TINTA;LT
GUDANG;00DNP-RN;#TINTER 1000ML DNP-EXT RED;0;0;0;0;XXTDN;TINTA;LT
CW1;00DNP-T;#TINTER 1000ML DNP-MEDIUM YELLOW;0;0;0;0;XXTDN;TINTA;LT
CW2;00DNP-T;#TINTER 1000ML DNP-MEDIUM YELLOW;0;0;0;0;XXTDN;TINTA;LT
CW3;00DNP-T;#TINTER 1000ML DNP-MEDIUM YELLOW;0;0;0;0;XXTDN;TINTA;LT
CW4;00DNP-T;#TINTER 1000ML DNP-MEDIUM YELLOW;0;0;0;0;XXTDN;TINTA;LT
CW6;00DNP-T;#TINTER 1000ML DNP-MEDIUM YELLOW;0;0;0;0;XXTDN;TINTA;LT
CW1;00DNP-V;#TINTER 1000ML DNP-MAGENTA;0;0;0;0;XXTDN;TINTA;LT
CW7;00DNP-V;#TINTER 1000ML DNP-MAGENTA;0;0;0;0;XXTDN;TINTA;LT
CW1;00ICI-BLK;#TINTER 1000ML ICI-BLACK;0;0;0;0;XXTICI;TINTA;LT
CW2;00ICI-BLK;#TINTER 1000ML ICI-BLACK;0;0;0;0;XXTICI;TINTA;LT
CW3;00ICI-BLK;#TINTER 1000ML ICI-BLACK;0;0;0;0;XXTICI;TINTA;LT
CW4;00ICI-BLK;#TINTER 1000ML ICI-BLACK;0;0;0;0;XXTICI;TINTA;LT
CW5;00ICI-BLK;#TINTER 1000ML ICI-BLACK;0;0;0;0;XXTICI;TINTA;LT
CW8;00ICI-BLK;#TINTER 1000ML ICI-BLACK;0;0;0;0;XXTICI;TINTA;LT
GUDANG;00ICI-BLK;#TINTER 1000ML ICI-BLACK;0;0;0;0;XXTICI;TINTA;LT
CW1;00ICI-FFR;#TINTER 1000ML ICI-FFR;0;0;0;0;XXTICI;TINTA;LT
CW2;00ICI-FFR;#TINTER 1000ML ICI-FFR;0;0;0;0;XXTICI;TINTA;LT
CW3;00ICI-FFR;#TINTER 1000ML ICI-FFR;0;0;0;0;XXTICI;TINTA;LT
CW4;00ICI-FFR;#TINTER 1000ML ICI-FFR;0;0;0;0;XXTICI;TINTA;LT
CW5;00ICI-FFR;#TINTER 1000ML ICI-FFR;0;0;0;0;XXTICI;TINTA;LT
CW8;00ICI-FFR;#TINTER 1000ML ICI-FFR;0;0;0;0;XXTICI;TINTA;LT
GUDANG;00ICI-FFR;#TINTER 1000ML ICI-FFR;0;0;0;0;XXTICI;TINTA;LT
CW1;00ICI-GRN;#TINTER 1000ML ICI-GREEN;0;0;0;0;XXTICI;TINTA;LT
CW2;00ICI-GRN;#TINTER 1000ML ICI-GREEN;0;0;0;0;XXTICI;TINTA;LT
CW3;00ICI-GRN;#TINTER 1000ML ICI-GREEN;0;0;0;0;XXTICI;TINTA;LT
CW4;00ICI-GRN;#TINTER 1000ML ICI-GREEN;0;0;0;0;XXTICI;TINTA;LT
CW5;00ICI-GRN;#TINTER 1000ML ICI-GREEN;0;0;0;0;XXTICI;TINTA;LT
CW8;00ICI-GRN;#TINTER 1000ML ICI-GREEN;0;0;0;0;XXTICI;TINTA;LT
GUDANG;00ICI-GRN;#TINTER 1000ML ICI-GREEN;0;0;0;0;XXTICI;TINTA;LT
CW1;00ICI-HER;#TINTER 1000ML ICI-HER;0;0;0;0;XXTICI;TINTA;LT
CW2;00ICI-HER;#TINTER 1000ML ICI-HER;0;0;0;0;XXTICI;TINTA;LT
CW3;00ICI-HER;#TINTER 1000ML ICI-HER;0;0;0;0;XXTICI;TINTA;LT
CW4;00ICI-HER;#TINTER 1000ML ICI-HER;0;0;0;0;XXTICI;TINTA;LT
CW5;00ICI-HER;#TINTER 1000ML ICI-HER;0;0;0;0;XXTICI;TINTA;LT
CW8;00ICI-HER;#TINTER 1000ML ICI-HER;0;0;0;0;XXTICI;TINTA;LT
GUDANG;00ICI-HER;#TINTER 1000ML ICI-HER;0;0;0;0;XXTICI;TINTA;LT
CW1;00ICI-HEY;#TINTER 1000ML ICI-HIGH EXTERIOR YELLOW;0;0;0;0;XXTICI;TINTA;LT
CW2;00ICI-HEY;#TINTER 1000ML ICI-HIGH EXTERIOR YELLOW;0;0;0;0;XXTICI;TINTA;LT
CW3;00ICI-HEY;#TINTER 1000ML ICI-HIGH EXTERIOR YELLOW;0;0;0;0;XXTICI;TINTA;LT
CW4;00ICI-HEY;#TINTER 1000ML ICI-HIGH EXTERIOR YELLOW;0;0;0;0;XXTICI;TINTA;LT
CW5;00ICI-HEY;#TINTER 1000ML ICI-HIGH EXTERIOR YELLOW;0;0;0;0;XXTICI;TINTA;LT
CW8;00ICI-HEY;#TINTER 1000ML ICI-HIGH EXTERIOR YELLOW;0;0;0;0;XXTICI;TINTA;LT
GUDANG;00ICI-HEY;#TINTER 1000ML ICI-HIGH EXTERIOR YELLOW;0;0;0;0;XXTICI;TINTA;LT
CW1;00ICI-LFY;#TINTER 1000ML ICI-LFY;0;0;0;0;XXTICI;TINTA;LT
CW2;00ICI-LFY;#TINTER 1000ML ICI-LFY;0;0;0;0;XXTICI;TINTA;LT
CW3;00ICI-LFY;#TINTER 1000ML ICI-LFY;0;0;0;0;XXTICI;TINTA;LT
CW4;00ICI-LFY;#TINTER 1000ML ICI-LFY;0;0;0;0;XXTICI;TINTA;LT
CW5;00ICI-LFY;#TINTER 1000ML ICI-LFY;0;0;0;0;XXTICI;TINTA;LT
CW8;00ICI-LFY;#TINTER 1000ML ICI-LFY;0;0;0;0;XXTICI;TINTA;LT
GUDANG;00ICI-LFY;#TINTER 1000ML ICI-LFY;0;0;0;0;XXTICI;TINTA;LT
CW1;00ICI-MAG;#TINTER 1000ML ICI-MAGENTA;0;0;0;0;XXTICI;TINTA;LT
CW2;00ICI-MAG;#TINTER 1000ML ICI-MAGENTA;0;0;0;0;XXTICI;TINTA;LT
CW3;00ICI-MAG;#TINTER 1000ML ICI-MAGENTA;0;0;0;0;XXTICI;TINTA;LT
CW4;00ICI-MAG;#TINTER 1000ML ICI-MAGENTA;0;0;0;0;XXTICI;TINTA;LT
CW5;00ICI-MAG;#TINTER 1000ML ICI-MAGENTA;0;0;0;0;XXTICI;TINTA;LT
CW8;00ICI-MAG;#TINTER 1000ML ICI-MAGENTA;0;0;0;0;XXTICI;TINTA;LT
GUDANG;00ICI-MAG;#TINTER 1000ML ICI-MAGENTA;0;0;0;0;XXTICI;TINTA;LT
CW1;00ICI-OXR;#TINTER 1000ML ICI-OXIDE RED;0;0;0;0;XXTICI;TINTA;LT
CW2;00ICI-OXR;#TINTER 1000ML ICI-OXIDE RED;0;0;0;0;XXTICI;TINTA;LT
CW3;00ICI-OXR;#TINTER 1000ML ICI-OXIDE RED;0;0;0;0;XXTICI;TINTA;LT
CW4;00ICI-OXR;#TINTER 1000ML ICI-OXIDE RED;0;0;0;0;XXTICI;TINTA;LT
CW5;00ICI-OXR;#TINTER 1000ML ICI-OXIDE RED;0;0;0;0;XXTICI;TINTA;LT
CW8;00ICI-OXR;#TINTER 1000ML ICI-OXIDE RED;0;0;0;0;XXTICI;TINTA;LT
GUDANG;00ICI-OXR;#TINTER 1000ML ICI-OXIDE RED;0;0;0;0;XXTICI;TINTA;LT
CW1;00ICI-TBL;#TINTER 1000ML ICI-TBL;0;0;0;0;XXTICI;TINTA;LT
CW2;00ICI-TBL;#TINTER 1000ML ICI-TBL;0;0;0;0;XXTICI;TINTA;LT
CW3;00ICI-TBL;#TINTER 1000ML ICI-TBL;0;0;0;0;XXTICI;TINTA;LT
CW4;00ICI-TBL;#TINTER 1000ML ICI-TBL;0;0;0;0;XXTICI;TINTA;LT
CW5;00ICI-TBL;#TINTER 1000ML ICI-TBL;0;0;0;0;XXTICI;TINTA;LT
CW8;00ICI-TBL;#TINTER 1000ML ICI-TBL;0;0;0;0;XXTICI;TINTA;LT
GUDANG;00ICI-TBL;#TINTER 1000ML ICI-TBL;0;0;0;0;XXTICI;TINTA;LT
CW1;00ICI-WHT;#TINTER 1000ML ICI-WHITE;0;0;0;0;XXTICI;TINTA;LT
CW2;00ICI-WHT;#TINTER 1000ML ICI-WHITE;0;0;0;0;XXTICI;TINTA;LT
CW3;00ICI-WHT;#TINTER 1000ML ICI-WHITE;0;0;0;0;XXTICI;TINTA;LT
CW4;00ICI-WHT;#TINTER 1000ML ICI-WHITE;0;0;0;0;XXTICI;TINTA;LT
CW5;00ICI-WHT;#TINTER 1000ML ICI-WHITE;0;0;0;0;XXTICI;TINTA;LT
CW8;00ICI-WHT;#TINTER 1000ML ICI-WHITE;0;0;0;0;XXTICI;TINTA;LT
GUDANG;00ICI-WHT;#TINTER 1000ML ICI-WHITE;0;0;0;0;XXTICI;TINTA;LT
CW1;00ICI-YOX;#TINTER 1000ML ICI-YELLOW OXIDE;0;0;0;0;XXTICI;TINTA;LT
CW2;00ICI-YOX;#TINTER 1000ML ICI-YELLOW OXIDE;0;0;0;0;XXTICI;TINTA;LT
CW3;00ICI-YOX;#TINTER 1000ML ICI-YELLOW OXIDE;0;0;0;0;XXTICI;TINTA;LT
CW4;00ICI-YOX;#TINTER 1000ML ICI-YELLOW OXIDE;0;0;0;0;XXTICI;TINTA;LT
CW5;00ICI-YOX;#TINTER 1000ML ICI-YELLOW OXIDE;0;0;0;0;XXTICI;TINTA;LT
CW8;00ICI-YOX;#TINTER 1000ML ICI-YELLOW OXIDE;0;0;0;0;XXTICI;TINTA;LT
GUDANG;00ICI-YOX;#TINTER 1000ML ICI-YELLOW OXIDE;0;0;0;0;XXTICI;TINTA;LT
CW1;00IDC-BLK;#TINTER 1000ML IDC-BLACK;0;0;0;0;XXTIDC;TINTA;LT
CW2;00IDC-BLK;#TINTER 1000ML IDC-BLACK;0;0;0;0;XXTIDC;TINTA;LT
CW3;00IDC-BLK;#TINTER 1000ML IDC-BLACK;0;0;0;0;XXTIDC;TINTA;LT
CW4;00IDC-BLK;#TINTER 1000ML IDC-BLACK;0;0;0;0;XXTIDC;TINTA;LT
CW5;00IDC-BLK;#TINTER 1000ML IDC-BLACK;0;0;0;0;XXTIDC;TINTA;LT
CW6;00IDC-BLK;#TINTER 1000ML IDC-BLACK;0;0;0;0;XXTIDC;TINTA;LT
CW7;00IDC-BLK;#TINTER 1000ML IDC-BLACK;0;0;0;0;XXTIDC;TINTA;LT
CW8;00IDC-BLK;#TINTER 1000ML IDC-BLACK;0;0;0;0;XXTIDC;TINTA;LT
GUDANG;00IDC-BLK;#TINTER 1000ML IDC-BLACK;0;0;0;0;XXTIDC;TINTA;LT
9IDC;00IDC-BRD;#TINTER 1000ML IDC-BRICK RED;0;0;0;0;XXTIDC;TINTA;LT
CW1;00IDC-BRD;#TINTER 1000ML IDC-BRICK RED;0;0;0;0;XXTIDC;TINTA;LT
CW2;00IDC-BRD;#TINTER 1000ML IDC-BRICK RED;0;0;0;0;XXTIDC;TINTA;LT
CW3;00IDC-BRD;#TINTER 1000ML IDC-BRICK RED;0;0;0;0;XXTIDC;TINTA;LT
CW4;00IDC-BRD;#TINTER 1000ML IDC-BRICK RED;0;0;0;0;XXTIDC;TINTA;LT
CW5;00IDC-BRD;#TINTER 1000ML IDC-BRICK RED;0;0;0;0;XXTIDC;TINTA;LT
CW6;00IDC-BRD;#TINTER 1000ML IDC-BRICK RED;0;0;0;0;XXTIDC;TINTA;LT
CW7;00IDC-BRD;#TINTER 1000ML IDC-BRICK RED;0;0;0;0;XXTIDC;TINTA;LT
CW8;00IDC-BRD;#TINTER 1000ML IDC-BRICK RED;0;0;0;0;XXTIDC;TINTA;LT
GUDANG;00IDC-BRD;#TINTER 1000ML IDC-BRICK RED;0;0;0;0;XXTIDC;TINTA;LT
RUSAK;00IDC-BRD;#TINTER 1000ML IDC-BRICK RED;0;0;0;0;XXTIDC;TINTA;LT
CW1;00IDC-DRD;#TINTER 1000ML IDC-DEEP RED;0;0;0;0;XXTIDC;TINTA;LT
CW2;00IDC-DRD;#TINTER 1000ML IDC-DEEP RED;0;0;0;0;XXTIDC;TINTA;LT
CW3;00IDC-DRD;#TINTER 1000ML IDC-DEEP RED;0;0;0;0;XXTIDC;TINTA;LT
CW4;00IDC-DRD;#TINTER 1000ML IDC-DEEP RED;0;0;0;0;XXTIDC;TINTA;LT
CW5;00IDC-DRD;#TINTER 1000ML IDC-DEEP RED;0;0;0;0;XXTIDC;TINTA;LT
CW6;00IDC-DRD;#TINTER 1000ML IDC-DEEP RED;0;0;0;0;XXTIDC;TINTA;LT
CW7;00IDC-DRD;#TINTER 1000ML IDC-DEEP RED;0;0;0;0;XXTIDC;TINTA;LT
CW8;00IDC-DRD;#TINTER 1000ML IDC-DEEP RED;0;0;0;0;XXTIDC;TINTA;LT
GUDANG;00IDC-DRD;#TINTER 1000ML IDC-DEEP RED;0;0;0;0;XXTIDC;TINTA;LT
CW1;00IDC-MAG;#TINTER 1000ML IDC-MAGENTA;0;0;0;0;XXTIDC;TINTA;LT
CW2;00IDC-MAG;#TINTER 1000ML IDC-MAGENTA;0;0;0;0;XXTIDC;TINTA;LT
CW3;00IDC-MAG;#TINTER 1000ML IDC-MAGENTA;0;0;0;0;XXTIDC;TINTA;LT
CW4;00IDC-MAG;#TINTER 1000ML IDC-MAGENTA;0;0;0;0;XXTIDC;TINTA;LT
CW5;00IDC-MAG;#TINTER 1000ML IDC-MAGENTA;0;0;0;0;XXTIDC;TINTA;LT
CW6;00IDC-MAG;#TINTER 1000ML IDC-MAGENTA;0;0;0;0;XXTIDC;TINTA;LT
CW7;00IDC-MAG;#TINTER 1000ML IDC-MAGENTA;0;0;0;0;XXTIDC;TINTA;LT
CW8;00IDC-MAG;#TINTER 1000ML IDC-MAGENTA;0;0;0;0;XXTIDC;TINTA;LT
GUDANG;00IDC-MAG;#TINTER 1000ML IDC-MAGENTA;0;0;0;0;XXTIDC;TINTA;LT
CW1;00IDC-OCH;#TINTER 1000ML IDC-OCHRE;0;0;0;0;XXTIDC;TINTA;LT
CW2;00IDC-OCH;#TINTER 1000ML IDC-OCHRE;0;0;0;0;XXTIDC;TINTA;LT
CW3;00IDC-OCH;#TINTER 1000ML IDC-OCHRE;0;0;0;0;XXTIDC;TINTA;LT
CW4;00IDC-OCH;#TINTER 1000ML IDC-OCHRE;0;0;0;0;XXTIDC;TINTA;LT
CW5;00IDC-OCH;#TINTER 1000ML IDC-OCHRE;0;0;0;0;XXTIDC;TINTA;LT
CW6;00IDC-OCH;#TINTER 1000ML IDC-OCHRE;0;0;0;0;XXTIDC;TINTA;LT
CW7;00IDC-OCH;#TINTER 1000ML IDC-OCHRE;0;0;0;0;XXTIDC;TINTA;LT
CW8;00IDC-OCH;#TINTER 1000ML IDC-OCHRE;0;0;0;0;XXTIDC;TINTA;LT
GUDANG;00IDC-OCH;#TINTER 1000ML IDC-OCHRE;0;0;0;0;XXTIDC;TINTA;LT
CW1;00IDC-ORB;#TINTER 1000ML IDC-ORGANO BLUE;0;0;0;0;XXTIDC;TINTA;LT
CW2;00IDC-ORB;#TINTER 1000ML IDC-ORGANO BLUE;0;0;0;0;XXTIDC;TINTA;LT
CW3;00IDC-ORB;#TINTER 1000ML IDC-ORGANO BLUE;0;0;0;0;XXTIDC;TINTA;LT
CW4;00IDC-ORB;#TINTER 1000ML IDC-ORGANO BLUE;0;0;0;0;XXTIDC;TINTA;LT
CW5;00IDC-ORB;#TINTER 1000ML IDC-ORGANO BLUE;0;0;0;0;XXTIDC;TINTA;LT
CW6;00IDC-ORB;#TINTER 1000ML IDC-ORGANO BLUE;0;0;0;0;XXTIDC;TINTA;LT
CW7;00IDC-ORB;#TINTER 1000ML IDC-ORGANO BLUE;0;0;0;0;XXTIDC;TINTA;LT
CW8;00IDC-ORB;#TINTER 1000ML IDC-ORGANO BLUE;0;0;0;0;XXTIDC;TINTA;LT
GUDANG;00IDC-ORB;#TINTER 1000ML IDC-ORGANO BLUE;0;0;0;0;XXTIDC;TINTA;LT
CW1;00IDC-ORG;#TINTER 1000ML IDC-ORGANO GREEN;0;0;0;0;XXTIDC;TINTA;LT
CW2;00IDC-ORG;#TINTER 1000ML IDC-ORGANO GREEN;0;0;0;0;XXTIDC;TINTA;LT
CW3;00IDC-ORG;#TINTER 1000ML IDC-ORGANO GREEN;0;0;0;0;XXTIDC;TINTA;LT
CW4;00IDC-ORG;#TINTER 1000ML IDC-ORGANO GREEN;0;0;0;0;XXTIDC;TINTA;LT
CW5;00IDC-ORG;#TINTER 1000ML IDC-ORGANO GREEN;0;0;0;0;XXTIDC;TINTA;LT
CW6;00IDC-ORG;#TINTER 1000ML IDC-ORGANO GREEN;0;0;0;0;XXTIDC;TINTA;LT
CW7;00IDC-ORG;#TINTER 1000ML IDC-ORGANO GREEN;0;0;0;0;XXTIDC;TINTA;LT
CW8;00IDC-ORG;#TINTER 1000ML IDC-ORGANO GREEN;0;0;0;0;XXTIDC;TINTA;LT
GUDANG;00IDC-ORG;#TINTER 1000ML IDC-ORGANO GREEN;0;0;0;0;XXTIDC;TINTA;LT
CW1;00IDC-ORY;#TINTER 1000ML IDC-ORANGE YELLOW;0;0;0;0;XXTIDC;TINTA;LT
CW2;00IDC-ORY;#TINTER 1000ML IDC-ORANGE YELLOW;0;0;0;0;XXTIDC;TINTA;LT
CW3;00IDC-ORY;#TINTER 1000ML IDC-ORANGE YELLOW;0;0;0;0;XXTIDC;TINTA;LT
CW4;00IDC-ORY;#TINTER 1000ML IDC-ORANGE YELLOW;0;0;0;0;XXTIDC;TINTA;LT
CW5;00IDC-ORY;#TINTER 1000ML IDC-ORANGE YELLOW;0;0;0;0;XXTIDC;TINTA;LT
CW6;00IDC-ORY;#TINTER 1000ML IDC-ORANGE YELLOW;0;0;0;0;XXTIDC;TINTA;LT
CW7;00IDC-ORY;#TINTER 1000ML IDC-ORANGE YELLOW;0;0;0;0;XXTIDC;TINTA;LT
CW8;00IDC-ORY;#TINTER 1000ML IDC-ORANGE YELLOW;0;0;0;0;XXTIDC;TINTA;LT
GUDANG;00IDC-ORY;#TINTER 1000ML IDC-ORANGE YELLOW;0;0;0;0;XXTIDC;TINTA;LT
CW1;00IDC-PLR;#TINTER 1000ML IDC-PALE RED;0;0;0;0;XXTIDC;TINTA;LT
CW2;00IDC-PLR;#TINTER 1000ML IDC-PALE RED;0;0;0;0;XXTIDC;TINTA;LT
CW3;00IDC-PLR;#TINTER 1000ML IDC-PALE RED;0;0;0;0;XXTIDC;TINTA;LT
